settlement_id,_gt_txn_id,_split
STL-000146-0,GT-000146,train
STL-000147-0,GT-000147,train
STL-000148-0,GT-000148,train
STL-000149-0,GT-000149,train
STL-000150-0,GT-000150,val
STL-000151-0,GT-000151,train
STL-000152-0,GT-000152,train
STL-000154-0,GT-000154,val
STL-000155-0,GT-000155,train
STL-000156-0,GT-000156,train
STL-000158-0,GT-000158,train
STL-000160-0,GT-000160,train
STL-000161-0,GT-000161,train
STL-000161-1,GT-000161,train
STL-000161-2,GT-000161,train
STL-000162-0,GT-000162,test
STL-000163-0,GT-000163,val
STL-000164-0,GT-000164,test
STL-000165-0,GT-000165,train
STL-000166-0,GT-000166,train
STL-000167-0,GT-000167,test
STL-000168-0,GT-000168,train
STL-000169-0,GT-000169,train
STL-000170-0,GT-000170,train
STL-000171-0,GT-000171,train
STL-000172-0,GT-000172,test
STL-000173-0,GT-000173,train
STL-000174-0,GT-000174,val
STL-000176-0,GT-000176,val
STL-000176-1,GT-000176,val
STL-000176-2,GT-000176,val
STL-000177-0,GT-000177,test
STL-000178-0,GT-000178,test
STL-000179-0,GT-000179,train
STL-000180-0,GT-000180,train
STL-000181-0,GT-000181,train
STL-000182-0,GT-000182,val
STL-000183-0,GT-000183,test
STL-000184-0,GT-000184,train
STL-000185-0,GT-000185,train
STL-000186-0,GT-000186,train
STL-000187-0,GT-000187,train
STL-000188-0,GT-000188,train
STL-000189-0,GT-000189,val
STL-000190-0,GT-000190,train
STL-000191-0,GT-000191,train
STL-000192-0,GT-000192,train
STL-000193-0,GT-000193,train
STL-000195-0,GT-000195,train
STL-000196-0,GT-000196,train
STL-000197-0,GT-000197,test
STL-000198-0,GT-000198,val
STL-000199-0,GT-000199,val
STL-000200-0,GT-000200,train
STL-000200-1,GT-000200,train
STL-000200-2,GT-000200,train
STL-000202-0,GT-000202,train
STL-000203-0,GT-000203,test
STL-000204-0,GT-000204,train
STL-000205-0,GT-000205,train
STL-000206-0,GT-000206,train
STL-000207-0,GT-000207,train
STL-000208-0,GT-000208,test
STL-000209-0,GT-000209,train
STL-000210-0,GT-000210,train
STL-000210-1,GT-000210,train
STL-000210-2,GT-000210,train
STL-000211-0,GT-000211,test
STL-000213-0,GT-000213,train
STL-000214-0,GT-000214,train
STL-000215-0,GT-000215,train
STL-000216-0,GT-000216,train
STL-000216-1,GT-000216,train
STL-000216-2,GT-000216,train
STL-000217-0,GT-000217,val
STL-000218-0,GT-000218,val
STL-000219-0,GT-000219,train
STL-000220-0,GT-000220,train
STL-000221-0,GT-000221,train
STL-000224-0,GT-000224,train
STL-000225-0,GT-000225,train
STL-000225-1,GT-000225,train
STL-000226-0,GT-000226,val
STL-000226-1,GT-000226,val
STL-000228-0,GT-000228,train
STL-000229-0,GT-000229,train
STL-000231-0,GT-000231,train
STL-000232-0,GT-000232,train
STL-000235-0,GT-000235,train
STL-000236-0,GT-000236,train
STL-000237-0,GT-000237,val
STL-000238-0,GT-000238,test
STL-000239-0,GT-000239,train
STL-000242-0,GT-000242,val
STL-000243-0,GT-000243,test
STL-000245-0,GT-000245,train
STL-000246-0,GT-000246,train
STL-000246-1,GT-000246,train
STL-000247-0,GT-000247,val
STL-000248-0,GT-000248,train
STL-000249-0,GT-000249,val
STL-000250-0,GT-000250,val
STL-000251-0,GT-000251,train
STL-000252-0,GT-000252,train
STL-000253-0,GT-000253,train
STL-000254-0,GT-000254,test
STL-000255-0,GT-000255,train
STL-000255-1,GT-000255,train
STL-000256-0,GT-000256,test
STL-000258-0,GT-000258,val
STL-000259-0,GT-000259,train
STL-000260-0,GT-000260,val
STL-000261-0,GT-000261,train
STL-000262-0,GT-000262,train
STL-000263-0,GT-000263,train
STL-000265-0,GT-000265,train
STL-000266-0,GT-000266,train
STL-000267-0,GT-000267,val
STL-000268-0,GT-000268,train
STL-000269-0,GT-000269,val
STL-000270-0,GT-000270,val
STL-000271-0,GT-000271,test
STL-000272-0,GT-000272,val
STL-000273-0,GT-000273,train
STL-000274-0,GT-000274,train
STL-000275-0,GT-000275,train
STL-000276-0,GT-000276,val
STL-000278-0,GT-000278,train
STL-000279-0,GT-000279,train
STL-000280-0,GT-000280,train
STL-000281-0,GT-000281,train
STL-000282-0,GT-000282,val
STL-000283-0,GT-000283,train
STL-000284-0,GT-000284,train
STL-000285-0,GT-000285,test
STL-000286-0,GT-000286,test
STL-000287-0,GT-000287,val
STL-000288-0,GT-000288,val
STL-000289-0,GT-000289,train
STL-000292-0,GT-000292,train
STL-000294-0,GT-000294,train
STL-000294-1,GT-000294,train
STL-000296-0,GT-000296,train
STL-000297-0,GT-000297,val
STL-000298-0,GT-000298,train
STL-000299-0,GT-000299,val
STL-000300-0,GT-000300,train
STL-000301-0,GT-000301,train
STL-000302-0,GT-000302,train
STL-000303-0,GT-000303,test
STL-000306-0,GT-000306,train
STL-000306-1,GT-000306,train
STL-000307-0,GT-000307,train
STL-000308-0,GT-000308,train
STL-000309-0,GT-000309,val
STL-000310-0,GT-000310,train
STL-000312-0,GT-000312,train
STL-000313-0,GT-000313,train
STL-000314-0,GT-000314,train
STL-000315-0,GT-000315,val
STL-000316-0,GT-000316,train
STL-000318-0,GT-000318,val
STL-000319-0,GT-000319,val
STL-000320-0,GT-000320,train
STL-000320-1,GT-000320,train
STL-000321-0,GT-000321,val
STL-000322-0,GT-000322,train
STL-000323-0,GT-000323,train
STL-000324-0,GT-000324,train
STL-000325-0,GT-000325,train
STL-000326-0,GT-000326,val
STL-000327-0,GT-000327,val
STL-000328-0,GT-000328,train
STL-000329-0,GT-000329,train
STL-000330-0,GT-000330,train
STL-000331-0,GT-000331,test
STL-000332-0,GT-000332,test
STL-000333-0,GT-000333,train
STL-000333-1,GT-000333,train
STL-000335-0,GT-000335,train
STL-000338-0,GT-000338,test
STL-000339-0,GT-000339,train
STL-000340-0,GT-000340,test
STL-000341-0,GT-000341,train
STL-000342-0,GT-000342,train
STL-000344-0,GT-000344,test
STL-000346-0,GT-000346,train
STL-000347-0,GT-000347,train
STL-000348-0,GT-000348,train
STL-000349-0,GT-000349,train
STL-000351-0,GT-000351,train
STL-000352-0,GT-000352,train
STL-000353-0,GT-000353,train
STL-000354-0,GT-000354,train
STL-000354-1,GT-000354,train
STL-000354-2,GT-000354,train
STL-000355-0,GT-000355,test
STL-000356-0,GT-000356,val
STL-000357-0,GT-000357,train
STL-000358-0,GT-000358,train
STL-000359-0,GT-000359,test
STL-000360-0,GT-000360,train
STL-000361-0,GT-000361,train
STL-000362-0,GT-000362,train
STL-000363-0,GT-000363,train
STL-000364-0,GT-000364,val
STL-000365-0,GT-000365,train
STL-000366-0,GT-000366,train
STL-000367-0,GT-000367,train
STL-000368-0,GT-000368,val
STL-000369-0,GT-000369,train
STL-000371-0,GT-000371,val
STL-000372-0,GT-000372,test
STL-000373-0,GT-000373,train
STL-000374-0,GT-000374,val
STL-000375-0,GT-000375,val
STL-000376-0,GT-000376,train
STL-000377-0,GT-000377,train
STL-000377-1,GT-000377,train
STL-000377-2,GT-000377,train
STL-000378-0,GT-000378,val
STL-000379-0,GT-000379,train
STL-000380-0,GT-000380,train
STL-000381-0,GT-000381,train
STL-000382-0,GT-000382,test
STL-000383-0,GT-000383,train
STL-000385-0,GT-000385,test
STL-000386-0,GT-000386,train
STL-000387-0,GT-000387,train
STL-000388-0,GT-000388,train
STL-000389-0,GT-000389,train
STL-000389-1,GT-000389,train
STL-000389-2,GT-000389,train
STL-000390-0,GT-000390,train
STL-000391-0,GT-000391,train
STL-000392-0,GT-000392,test
STL-000393-0,GT-000393,train
STL-000394-0,GT-000394,train
STL-000395-0,GT-000395,val
STL-000396-0,GT-000396,train
STL-000397-0,GT-000397,train
STL-000398-0,GT-000398,train
STL-000399-0,GT-000399,train
STL-000399-1,GT-000399,train
STL-000400-0,GT-000400,test
STL-000403-0,GT-000403,train
STL-000404-0,GT-000404,test
STL-000404-1,GT-000404,test
STL-000405-0,GT-000405,test
STL-000407-0,GT-000407,test
STL-000408-0,GT-000408,val
STL-000409-0,GT-000409,train
STL-000409-1,GT-000409,train
STL-000410-0,GT-000410,train
STL-000411-0,GT-000411,train
STL-000412-0,GT-000412,train
STL-000413-0,GT-000413,train
STL-000414-0,GT-000414,train
STL-000415-0,GT-000415,test
STL-000416-0,GT-000416,train
STL-000416-1,GT-000416,train
STL-000417-0,GT-000417,val
STL-000419-0,GT-000419,train
STL-000420-0,GT-000420,train
STL-000421-0,GT-000421,train
STL-000422-0,GT-000422,train
STL-000423-0,GT-000423,train
STL-000423-1,GT-000423,train
STL-000424-0,GT-000424,train
STL-000425-0,GT-000425,train
STL-000426-0,GT-000426,train
STL-000427-0,GT-000427,train
STL-000428-0,GT-000428,test
STL-000429-0,GT-000429,val
STL-000430-0,GT-000430,train
STL-000431-0,GT-000431,train
STL-000432-0,GT-000432,test
STL-000433-0,GT-000433,train
STL-000434-0,GT-000434,test
STL-000435-0,GT-000435,val
STL-000436-0,GT-000436,train
STL-000437-0,GT-000437,train
STL-000438-0,GT-000438,train
STL-000439-0,GT-000439,test
STL-000440-0,GT-000440,train
STL-000442-0,GT-000442,val
STL-000443-0,GT-000443,train
STL-000443-1,GT-000443,train
STL-000444-0,GT-000444,train
STL-000446-0,GT-000446,test
STL-000447-0,GT-000447,train
STL-000448-0,GT-000448,train
STL-000450-0,GT-000450,val
STL-000451-0,GT-000451,train
STL-000452-0,GT-000452,val
STL-000455-0,GT-000455,train
STL-000456-0,GT-000456,val
STL-000458-0,GT-000458,train
STL-000459-0,GT-000459,train
STL-000460-0,GT-000460,val
STL-000461-0,GT-000461,train
STL-000462-0,GT-000462,train
STL-000463-0,GT-000463,train
STL-000464-0,GT-000464,train
STL-000465-0,GT-000465,train
STL-000466-0,GT-000466,train
STL-000467-0,GT-000467,train
STL-000468-0,GT-000468,train
STL-000469-0,GT-000469,train
STL-000470-0,GT-000470,test
STL-000471-0,GT-000471,train
STL-000472-0,GT-000472,train
STL-000473-0,GT-000473,train
STL-000474-0,GT-000474,test
STL-000475-0,GT-000475,train
STL-000476-0,GT-000476,train
STL-000477-0,GT-000477,train
STL-000478-0,GT-000478,test
STL-000479-0,GT-000479,test
STL-000480-0,GT-000480,test
STL-000481-0,GT-000481,test
STL-000482-0,GT-000482,train
STL-000483-0,GT-000483,val
STL-000485-0,GT-000485,test
STL-000486-0,GT-000486,train
STL-000487-0,GT-000487,train
STL-000487-1,GT-000487,train
STL-000487-2,GT-000487,train
STL-000490-0,GT-000490,val
STL-000491-0,GT-000491,test
STL-000492-0,GT-000492,train
STL-000493-0,GT-000493,train
STL-000494-0,GT-000494,train
STL-000495-0,GT-000495,train
STL-000496-0,GT-000496,val
STL-000497-0,GT-000497,val
STL-000498-0,GT-000498,train
STL-000499-0,GT-000499,train
STL-000501-0,GT-000501,test
STL-000501-1,GT-000501,test
STL-000501-2,GT-000501,test
STL-000503-0,GT-000503,train
STL-000504-0,GT-000504,train
STL-000505-0,GT-000505,val
STL-000507-0,GT-000507,train
STL-000508-0,GT-000508,train
STL-000509-0,GT-000509,test
STL-000510-0,GT-000510,train
STL-000510-1,GT-000510,train
STL-000511-0,GT-000511,val
STL-000512-0,GT-000512,train
STL-000513-0,GT-000513,train
STL-000514-0,GT-000514,train
STL-000516-0,GT-000516,train
STL-000516-1,GT-000516,train
STL-000516-2,GT-000516,train
STL-000517-0,GT-000517,train
STL-000518-0,GT-000518,val
STL-000519-0,GT-000519,test
STL-000519-1,GT-000519,test
STL-000519-2,GT-000519,test
STL-000520-0,GT-000520,test
STL-000521-0,GT-000521,train
STL-000522-0,GT-000522,train
STL-000524-0,GT-000524,train
STL-000525-0,GT-000525,val
STL-000526-0,GT-000526,val
STL-000527-0,GT-000527,val
STL-000528-0,GT-000528,train
STL-000531-0,GT-000531,train
STL-000532-0,GT-000532,train
STL-000534-0,GT-000534,train
STL-000535-0,GT-000535,train
STL-000536-0,GT-000536,test
STL-000537-0,GT-000537,train
STL-000538-0,GT-000538,train
STL-000539-0,GT-000539,train
STL-000540-0,GT-000540,train
STL-000541-0,GT-000541,train
STL-000542-0,GT-000542,train
STL-000543-0,GT-000543,train
STL-000544-0,GT-000544,train
STL-000545-0,GT-000545,train
STL-000545-1,GT-000545,train
STL-000545-2,GT-000545,train
STL-000546-0,GT-000546,train
STL-000548-0,GT-000548,train
STL-000549-0,GT-000549,train
STL-000550-0,GT-000550,val
STL-000551-0,GT-000551,train
STL-000552-0,GT-000552,val
STL-000553-0,GT-000553,test
STL-000554-0,GT-000554,train
STL-000555-0,GT-000555,train
STL-000557-0,GT-000557,train
STL-000559-0,GT-000559,val
STL-000560-0,GT-000560,val
STL-000562-0,GT-000562,train
STL-000563-0,GT-000563,train
STL-000564-0,GT-000564,train
STL-000565-0,GT-000565,train
STL-000568-0,GT-000568,test
STL-000569-0,GT-000569,val
STL-000571-0,GT-000571,train
STL-000572-0,GT-000572,train
STL-000574-0,GT-000574,train
STL-000575-0,GT-000575,train
STL-000576-0,GT-000576,test
STL-000578-0,GT-000578,train
STL-000579-0,GT-000579,val
STL-000580-0,GT-000580,train
STL-000581-0,GT-000581,train
STL-000582-0,GT-000582,val
STL-000583-0,GT-000583,train
STL-000584-0,GT-000584,train
STL-000585-0,GT-000585,train
STL-000587-0,GT-000587,train
STL-000588-0,GT-000588,train
STL-000589-0,GT-000589,train
STL-000590-0,GT-000590,test
STL-000591-0,GT-000591,train
STL-000592-0,GT-000592,train
STL-000593-0,GT-000593,val
STL-000594-0,GT-000594,train
STL-000596-0,GT-000596,train
STL-000597-0,GT-000597,train
STL-000598-0,GT-000598,train
STL-000264-0,GT-000264,test
STL-000561-0,GT-000561,test
STL-BATCH-000020-000153-000384,GT-000020|GT-000153|GT-000384,test
STL-BATCH-000291-000337,GT-000291|GT-000337,train
STL-000567-0,GT-000567,train
STL-BATCH-000244-000277,GT-000244|GT-000277,train
STL-000586-0,GT-000586,train
STL-BATCH-000010-000222,GT-000010|GT-000222,train
STL-BATCH-000523-000530,GT-000523|GT-000530,train
STL-BATCH-000061-000241,GT-000061|GT-000241,train
STL-BATCH-000406-000441,GT-000406|GT-000441,train
STL-000577-0,GT-000577,train
STL-000317-0,GT-000317,train
STL-000019-0,GT-000019,train
STL-BATCH-000489-000558,GT-000489|GT-000558,train
STL-000595-0,GT-000595,train
STL-BATCH-000240-000445,GT-000240|GT-000445,train
STL-000599-0,GT-000599,train
STL-BATCH-000086-000570,GT-000086|GT-000570,train
STL-000257-0,GT-000257,train
STL-BATCH-000056-000418,GT-000056|GT-000418,train
STL-BATCH-000223-000311,GT-000223|GT-000311,train
STL-000449-0,GT-000449,train
STL-BATCH-000201-000305,GT-000201|GT-000305,train
STL-BATCH-000453-000547,GT-000453|GT-000547,train
STL-000533-0,GT-000533,train
STL-000075-0,GT-000075,train
STL-000230-0,GT-000230,val
STL-000345-0,GT-000345,val
STL-000304-0,GT-000304,val
STL-000295-0,GT-000295,val
STL-000488-0,GT-000488,val
STL-000157-0,GT-000157,val
STL-000293-0,GT-000293,val
STL-000087-0,GT-000087,val
